"98年07月30日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"2852","第一保","-","0.00","1.05",
"2854","寶來證","-","0.00","1.57",
"2855","統一證","-","0.00","1.35",
"2856","元富證","-","0.00","1.11",
"2880","華南金","16.17","4.83","1.39",
"2881","富邦金","27.42","0.00","1.69",
"2882","國泰金","38.05","0.00","3.12",
"2883","開發金","-","0.00","0.77",
"2884","玉山金","49.57","2.63","0.82",
"2885","元大金","122.63","0.77","1.71",
"2886","兆豐金","59.48","1.45","1.06",
"2887","台新金","-","0.00","0.47",
"2888","新光金","-","0.00","1.33",
"2889","國票金","-","0.00","0.87",
"2890","永豐金","-","0.00","0.92",
"2891","中信金","14.31","0.87","1.30",
"2892","第一金","23.92","3.78","1.23",
"2901","欣欣","88.50","1.02","2.32",
"2903","遠百","122.04","1.82","1.80",
"2904","匯僑","10.47","6.05","0.74",
"2905","三商","93.00","0.00","1.48",
"2906","高林","104.63","0.00","0.68",
"2908","特力","34.78","3.19","1.36",
"2910","統領","28.23","4.48","2.41",
"2911","麗嬰房","26.61","2.94","1.80",
"2912","統一超","22.86","3.94","4.56",
"2913","農林","575.00","0.00","1.38",
"2915","潤泰全","106.39","0.00","3.71",
"3002","歐格","11.97","6.10","1.21",
"3003","健和興","20.19","2.45","0.94",
"3004","豐達科","-","0.00","1.59",
"3005","神基","13.57","3.43","1.39",
"3006","晶豪科","-","1.73","2.45",
"3008","大立光","17.74","2.41","4.44",
"3009","奇美電","-","0.00","0.73",
"3010","華立","14.93","5.42","1.12",
"3011","今皓","-","0.00","0.63",
"3013","晟銘電","11.15","3.83","0.71",
"3014","聯陽","32.39","1.48","2.24",
"3015","全漢","8.96","8.46","1.14",
"3016","嘉晶","-","0.00","2.60",
"3017","奇鋐","12.93","3.51","1.40",
"3018","同開","37.08","0.00","1.08",
"3019","亞光","20.67","1.61","1.05",
"3021","鴻名","-","0.00","0.67",
"3022","威強電","12.16","2.02","1.88",
"3023","信邦","99.06","6.94","0.91",
"3024","憶聲","-","0.00","0.59",
"3025","星通","21.53","2.76","1.10",
"3026","禾伸堂","15.58","5.00","1.33",
"3027","盛達","1,150.00","1.74","0.75",
"3028","增你強","15.58","4.55","0.96",
"3029","零壹","21.79","5.88","0.64",
"3030","德律","11.80","4.82","1.52",
"3031","佰鴻","29.84","1.89","2.35",
"3032","偉訓","10.42","0.00","0.62",
"3033","威健","12.39","6.17","0.96",
"3034","聯詠","18.46","4.85","2.91",
"3035","智原","38.96","2.57","3.73",
"3036","文曄","27.62","5.05","0.92",
"3037","欣興","23.20","2.01","1.32",
"3038","全台","-","0.00","0.81",
"3040","遠見","23.98","2.84","0.67",
"3041","揚智","60.18","0.70","4.06",
"3042","晶技","12.63","6.60","1.79",
"3043","科風","-","0.00","1.61",
"3044","健鼎","14.35","3.38","1.93",
"3045","台灣大","13.26","9.29","3.52",
"3046","建碁","51.25","0.00","1.29",
"3047","訊舟","17.00","4.86","1.09",
"3048","益登","-","0.00","0.73",
"3049","和鑫","-","3.73","1.78",
"3050","鈺德","-","0.00","1.03",
"3051","力特","-","0.00","0.21",
"3052","夆典","10.19","0.00","1.60",
"3054","立萬利","30.57","0.00","1.69",
"3055","蔚華科","10.34","4.44","0.83",
"3056","總太","-","0.00","0.82",
"3057","喬鼎","14.59","6.40","1.36",
"3058","立德","15.96","4.29","1.17",
"3059","華晶科","11.04","4.28","2.01",
"3060","銘異","8.19","11.29","1.29",
"3061","璨圓","-","0.30","2.40",
"3062","建漢","37.18","1.15","3.00",
"3063","飛信","-","0.00","1.12",
"3080","威力盟","720.00","2.78","1.31",
"3090","日電貿","9.51","9.36","1.28",
"3094","聯傑","44.05","1.27","2.75",
"3130","一零四","11.80","6.14","2.16",
"3189","景碩","17.14","2.85","1.73",
"3209","全科","9.28","8.72","1.37",
"3231","緯創","15.90","3.10","2.72",
"3296","勝德","17.06","3.35","1.68",
"3305","昇貿","22.85","2.53","3.03",
"3308","聯德","12.95","5.26","1.37",
"3311","閎暉","12.92","3.73","2.93",
"3315","宣昶","8.96","9.36","1.06",
"3356","奇偶","11.94","7.07","4.74",
"3367","英華達","10.06","11.04","1.19",
"3376","新日興","19.79","2.62","3.64",
"3380","明泰","11.42","3.45","1.58",
