"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2613","中櫃","4.63","110","19.70","1.59","111/1",
"2614","東森","3.58","110","18.89","2.61","111/1",
"2615","萬海","7.43","110","3.05","2.08","111/1",
"2616","山隆","6.85","110","13.22","0.94","111/1",
"2617","台航","5.35","110","11.05","0.95","111/1",
"2618","長榮航","1.77","110","14.72","2.07","111/1",
"2630","亞航","2.56","110","69.04","1.43","111/1",
"2633","台灣高鐵","2.73","110","55.60","2.29","111/1",
"2634","漢翔","1.03","110","31.24","2.20","111/1",
"2636","台驊投控","9.39","110","4.40","1.74","111/1",
"2637","慧洋-KY","5.60","110","7.31","1.85","111/1",
"2642","宅配通","2.97","110","31.28","2.83","111/1",
"2701","萬企","1.42","110","52.17","0.71","111/1",
"2702","華園","15.90","110","1.67","1.16","111/1",
"2704","國賓","0.00","109","-","0.96","111/1",
"2705","六福","0.00","110","-","0.70","111/1",
"2706","第一店","0.98","110","62.39","0.79","111/1",
"2707","晶華","6.94","110","10.52","6.37","111/1",
"2712","遠雄來","0.00","110","-","3.21","111/1",
"2722","夏都","0.58","110","150.65","2.04","111/1",
"2723","美食-KY","4.78","110","17.42","1.63","111/1",
"2727","王品","3.46","109","-","3.16","111/1",
"2731","雄獅","0.00","109","-","5.74","111/1",
"2739","寒舍","0.00","110","-","3.01","111/1",
"2748","雲品","1.13","110","367.50","2.28","111/1",
"2753","八方雲集","4.50","110","17.14","3.31","111/1",
"2801","彰銀","3.32","110","20.51","1.09","111/1",
"2809","京城銀","5.70","110","12.75","0.88","111/1",
"2812","台中銀","5.38","110","12.80","0.98","111/1",
"2816","旺旺保","5.68","110","9.31","0.64","111/1",
"2820","華票","5.29","110","12.98","0.93","111/1",
"2832","台產","3.80","110","15.31","0.71","111/1",
"2834","臺企銀","3.87","110","15.38","0.92","111/1",
"2836","高雄銀","4.16","110","16.81","0.94","111/1",
"2838","聯邦銀","7.05","110","12.61","0.82","111/1",
"2845","遠東銀","5.09","110","14.50","0.82","111/1",
"2849","安泰銀","4.68","110","12.48","0.88","111/1",
"2850","新產","5.96","110","7.23","1.09","111/1",
"2851","中再保","6.20","110","8.94","1.02","111/1",
"2852","第一保","7.59","110","8.02","0.64","111/1",
"2855","統一證","9.90","110","11.17","0.88","111/1",
"2867","三商壽","0.00","109","-","0.57","111/1",
"2880","華南金","4.78","110","18.32","1.56","111/1",
"2881","富邦金","5.49","110","6.09","0.99","111/1",
"2882","國泰金","6.39","110","6.93","1.07","111/1",
"2883","開發金","6.25","110","8.47","1.13","111/1",
"2884","玉山金","4.54","110","20.07","2.01","111/1",
"2885","元大金","7.68","110","8.98","1.06","111/1",
"2886","兆豐金","4.38","110","20.05","1.56","111/1",
"2887","台新金","6.25","110","11.97","1.07","111/1",
"2888","新光金","4.50","110","8.30","0.56","111/1",
"2889","國票金","7.35","110","15.97","1.25","111/1",
"2890","永豐金","5.11","110","12.22","1.21","111/1",
"2891","中信金","4.67","110","10.53","1.28","111/1",
"2892","第一金","4.54","110","17.40","1.49","111/1",
"2897","王道銀行","3.34","110","13.80","0.76","111/1",
