"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2337","旺宏","25.90","4.63","108","15.79","1.46","108/4",
"2338","光罩","25.00","4.28","108","11.52","1.66","108/4",
"2340","台亞","18.15","5.51","108","11.34","0.94","108/4",
"2342","茂矽","19.90","1.36","107","-","1.61","108/4",
"2344","華邦電","11.60","0.86","108","36.25","0.76","108/4",
"2345","智邦","166.50","3.72","108","18.69","7.23","108/4",
"2347","聯強","36.70","7.08","108","8.97","1.23","108/4",
"2348","海悅","49.85","9.03","108","7.55","2.42","108/4",
"2349","錸德","4.39","0.00","107","-","0.80","108/4",
"2351","順德","38.10","4.72","108","14.11","1.23","108/4",
"2352","佳世達","15.45","5.50","107","8.49","0.90","108/4",
"2353","宏碁","15.65","4.92","108","17.99","0.82","108/4",
"2354","鴻準","49.00","6.53","107","9.72","0.64","108/4",
"2355","敬鵬","20.65","4.84","108","12.44","0.52","108/4",
"2356","英業達","23.00","5.65","108","14.94","1.49","108/4",
"2357","華碩","198.00","7.07","108","12.12","0.83","108/4",
"2358","廷鑫","10.85","1.84","108","1,085.00","0.82","108/4",
"2359","所羅門","15.90","5.03","108","8.55","0.60","108/4",
"2360","致茂","122.00","2.46","108","27.48","3.52","108/4",
"2362","藍天","28.80","3.47","107","16.27","0.44","108/4",
"2363","矽統","8.15","22.09","108","-","0.57","108/4",
"2364","倫飛","2.30","0.00","107","-","1.64","108/4",
"2365","昆盈","7.26","5.51","108","11.17","0.53","108/4",
"2367","燿華","19.65","2.04","107","7.02","1.08","108/4",
"2368","金像電","25.15","0.00","107","104.79","1.90","108/4",
"2369","菱生","8.26","2.42","107","-","0.60","108/4",
"2371","大同","20.90","0.00","107","16.99","1.33","108/4",
"2373","震旦行","84.50","7.10","108","13.74","2.62","108/4",
"2374","佳能","10.45","4.78","107","-","0.45","108/4",
"2375","凱美","29.85","1.68","108","17.35","0.80","108/4",
"2376","技嘉","52.50","5.71","107","17.21","1.37","108/4",
"2377","微星","89.40","5.59","107","13.52","2.44","108/4",
