"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1735","日勝化","3.89","108","30.36","1.21","109/2",
"1736","喬山","1.91","108","28.26","2.72","109/2",
"1737","臺鹽","4.89","108","19.94","1.02","109/2",
"1760","寶齡富錦","1.35","108","149.44","8.48","109/2",
"1762","中化生","1.52","108","8.87","1.72","109/2",
"1773","勝一","3.98","108","15.01","3.11","109/2",
"1776","展宇","5.14","108","33.10","1.25","109/2",
"1783","和康生","3.23","108","29.10","2.03","109/2",
"1786","科妍","2.78","108","31.31","2.90","109/2",
"1789","神隆","0.84","108","91.57","2.44","109/2",
"1795","美時","0.00","108","25.81","2.51","109/2",
"1802","台玻","0.00","108","-","0.86","109/2",
"1805","寶徠","0.00","108","-","1.42","109/2",
"1806","冠軍","0.00","108","-","0.47","109/2",
"1808","潤隆","4.18","108","34.81","4.63","109/2",
"1809","中釉","1.74","108","-","0.66","109/2",
"1810","和成","0.00","108","26.40","0.61","109/2",
"1817","凱撒衛","5.56","108","11.78","1.38","109/2",
"1903","士紙","0.00","108","-","7.68","109/2",
"1904","正隆","4.22","108","9.95","1.35","109/2",
"1905","華紙","0.00","108","-","0.73","109/2",
"1906","寶隆","3.40","108","27.22","0.60","109/2",
"1907","永豐餘","3.78","108","8.73","0.80","109/2",
"1909","榮成","1.76","108","37.78","0.99","109/2",
"2002","中鋼","2.49","108","-","1.08","109/2",
"2006","東和鋼鐵","4.87","108","13.65","1.16","109/2",
"2007","燁興","0.00","108","-","0.57","109/2",
"2008","高興昌","0.00","108","-","1.07","109/2",
"2009","第一銅","0.00","108","-","0.88","109/2",
"2010","春源","2.78","108","24.00","0.70","109/2",
"2012","春雨","7.41","108","14.21","1.31","109/2",
"2013","中鋼構","2.83","108","13.00","1.25","109/2",
"2014","中鴻","0.00","108","-","0.99","109/2",
"2015","豐興","5.30","108","16.55","1.85","109/2",
"2017","官田鋼","0.00","108","-","0.75","109/2",
"2020","美亞","11.56","108","12.50","1.26","109/2",
"2022","聚亨","0.00","108","-","0.62","109/2",
"2023","燁輝","0.00","108","-","0.78","109/2",
"2024","志聯","2.37","108","-","1.30","109/2",
"2025","千興","0.00","108","-","1.08","109/2",
"2027","大成鋼","5.36","108","-","1.19","109/2",
"2028","威致","0.00","108","18.83","1.28","109/2",
"2029","盛餘","0.81","108","-","0.69","109/2",
"2030","彰源","4.83","108","27.76","0.81","109/2",
"2031","新光鋼","2.61","108","47.69","1.62","109/2",
"2032","新鋼","3.65","108","22.33","0.76","109/2",
"2033","佳大","1.84","108","21.70","0.87","109/2",
"2034","允強","6.33","108","21.35","1.38","109/2",
"2038","海光","0.00","108","-","0.61","109/2",
"2049","上銀","0.65","108","116.49","4.26","109/2",
"2059","川湖","2.62","108","21.01","2.75","109/2",
"2062","橋椿","0.36","108","-","0.93","109/2",
"2069","運錩","3.34","108","-","0.76","109/2",
"2101","南港","2.63","108","38.66","3.67","109/2",
"2102","泰豐","0.00","108","-","1.44","109/2",
"2103","台橡","2.82","108","221.88","1.03","109/2",
"2104","國際中橡","0.98","108","-","0.69","109/2",
"2105","正新","2.79","108","115.81","1.60","109/2",
"2106","建大","2.64","108","52.24","1.48","109/2",
"2107","厚生","3.92","108","9.37","0.68","109/2",
"2108","南帝","4.47","108","17.03","2.89","109/2",
"2109","華豐","0.00","108","50.20","1.51","109/2",
"2114","鑫永銓","5.97","108","15.39","2.72","109/2",
