"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"2338","光罩","9.70","8.25","1.39",
"2340","台亞","82.71","0.00","2.00",
"2341","英群","-","0.00","1.59",
"2342","茂矽","9.92","1.42","2.19",
"2344","華邦電","95.00","0.00","0.98",
"2345","智邦","-","0.00","1.99",
"2347","聯強","16.22","6.07","1.87",
"2348","海悅","-","0.00","2.69",
"2349","錸德","-","0.00","0.48",
"2350","環電","10.48","4.62","1.24",
"2351","順德","15.22","2.45","2.59",
"2352","佳世達","-","0.00","1.85",
"2353","宏碁","14.38","4.71","2.21",
"2354","鴻準","45.35","0.77","14.51",
"2355","敬鵬","8.53","7.61","1.10",
"2356","英業達","12.62","4.19","2.00",
"2357","華碩","17.84","2.24","2.44",
"2358","廷鑫","39.86","0.00","1.65",
"2359","所羅門","4.35","0.00","0.97",
"2360","致茂","10.71","6.11","2.29",
"2361","鴻友","-","0.00","0.90",
"2362","藍天","-","0.00","3.16",
"2363","矽統","51.03","2.81","1.71",
"2364","倫飛","-","0.00","0.83",
"2365","昆盈","10.48","6.75","2.16",
"2367","燿華","7.80","1.67","1.11",
"2368","金像電","8.43","5.19","1.48",
"2369","菱生","23.24","0.00","0.81",
"2371","大同","-","0.00","1.50",
"2373","震旦行","10.35","8.09","1.48",
"2374","佳能","9.32","7.36","1.72",
"2375","凱美","-","0.00","0.76",
"2376","技嘉","16.39","5.25","0.91",
"2377","微星","18.24","6.18","1.10",
"2379","瑞昱","17.53","3.30","2.37",
"2380","虹光","8.76","9.14","1.07",
"2381","華宇","-","0.00","0.78",
"2382","廣達","16.51","4.53","2.83",
"2383","台光電","11.17","2.95","1.43",
"2384","勝華","10.67","6.82","1.37",
"2385","群光","16.61","3.06","3.87",
"2387","精元","13.25","7.43","2.54",
"2388","威盛","36.21","0.00","3.24",
"2390","云辰","-","0.00","0.73",
"2391","合勤","11.60","7.39","2.10",
"2392","正崴","18.38","1.83","3.00",
"2393","億光","14.88","3.99","3.85",
"2395","研華","18.17","3.59","4.20",
"2396","精碟","-","0.00","0.47",
"2397","友通","11.53","5.52","2.27",
"2399","映泰","8.66","2.42","1.36",
"2401","凌陽","11.69","5.79","2.42",
"2402","毅嘉","18.83","0.00","2.06",
"2403","友尚","15.92","6.28","1.06",
"2404","漢唐","11.20","10.33","1.48",
"2405","輔信","81.67","2.59","1.27",
"2406","國碩","-","0.00","0.71",
"2408","南亞科","9.47","1.49","1.53",
"2409","友達","18.12","1.32","2.13",
"2411","飛瑞","16.54","6.41","2.98",
"2412","中華電","13.41","7.43","1.51",
"2413","環科","-","0.00","1.38",
"2414","精技","14.36","6.39","1.20",
"2415","錩新","43.70","4.53","1.36",
"2417","圓剛","12.97","5.93","2.54",
"2418","雅新","8.90","3.75","1.46",
"2419","仲琦","15.73","0.00","0.94",
"2420","新巨","13.09","5.83","2.37",
"2421","建準","17.84","1.54","1.93",
"2423","固緯","8.54","7.41","1.44",
"2424","隴華","-","0.00","1.15",
"2425","承啟","-","0.00","2.09",
"2426","鼎元","14.94","3.35","2.07",
"2427","三商電","-","0.00","0.76",
"2428","興勤","22.08","2.26","1.68",
"2429","銘旺科","-","0.00","0.49",
"2430","燦坤","-","6.46","1.55",
"2431","聯昌","34.24","4.42","0.80",
"2432","倚天","13.65","2.36","1.79",
"2433","互盛電","8.15","7.20","1.27",
"2434","統懋","34.38","4.16","1.67",
"2436","偉詮電","55.00","1.38","1.74",
"2437","旺詮","21.45","2.77","0.81",
"2438","翔耀","39.68","2.44","0.94",
"2439","美律","17.73","3.71","3.34",
"2440","太空梭","-","0.00","0.78",
"2441","超豐","8.51","7.42","2.30",
"2442","新美齊","131.00","0.00","1.07",
"2443","昶虹","-","0.00","0.68",
"2444","兆勁","-","0.00","1.84",
"2446","全懋","7.46","6.87","2.35",
"2447","鼎新","13.78","6.82","2.43",
"2448","晶電","26.93","2.03","4.26",
"2449","京元電子","10.19","5.22","1.41",
"2450","神腦","28.23","0.00","2.21",
"2451","創見","13.40","3.71","3.86",
"2452","乾坤","13.93","3.51","2.48",
"2453","凌群","-","0.00","0.60",
"2454","聯發科","15.40","3.56","5.47",
"2455","全新","23.05","0.00","4.42",
"2456","奇力新","11.12","6.46","1.53",
"2457","飛宏","15.43","6.90","1.47",
"2458","義隆","18.93","2.72","1.76",
"2459","敦吉","9.06","5.98","1.88",
"2460","建通","11.14","3.24","2.53",
"2461","光群雷","15.84","1.43","1.92",
"2462","良得電","11.47","7.02","1.46",
"2463","研揚","15.56","3.13","2.10",
"2464","盟立","8.48","7.92","2.18",
"2465","麗臺","-","0.00","1.11",
"2466","冠西電","37.65","1.25","2.89",
"2467","志聖","9.25","7.29","1.71",
"2468","華經","10.34","3.76","0.98",
"2469","力信","15.15","4.33","1.51",
"2471","資通","-","0.00","0.71",
"2472","立隆電","510.00","0.59","1.37",
"2473","思源","13.65","6.69","2.57",
"2474","可成","24.28","1.87","7.69",
"2475","華映","-","0.00","0.69",
"2476","鉅祥","17.63","3.66","2.97",
"2477","美隆電","20.12","3.26","1.78",
"2478","大毅","20.92","4.52","1.79",
"2479","和立","-","0.00","4.24",
"2480","敦陽科","12.07","6.11","1.10",
"2481","強茂","18.12","0.00","1.29",
"2482","連宇","24.82","3.66","1.97",
"2483","百容","14.19","3.15","1.29",
"2484","希華","11.29","4.52","1.05",
"2485","兆赫","16.08","2.76","2.77",
"2486","一詮","12.45","2.52","2.03",
"2488","漢平","76.25","5.25","1.00",
"2489","瑞軒","13.89","0.00","1.88",
"2491","吉祥全","-","0.00","0.75",
"2492","華新科","11.49","3.46","1.23",
"2493","揚博","14.31","6.92","0.91",
"2494","廣業科","-","0.00","0.44",
"2495","普安","10.25","9.62","3.31",
"2496","卓越","-","0.00","2.50",
"2497","怡利電","-","0.00","2.34",
"2498","宏達電","12.28","2.48","7.95",
"2499","東貝","47.94","3.48","2.30",
"2501","國建","31.20","0.00","1.85",
"2504","國產","20.47","2.84","1.27",
"2505","國揚","224.17","0.00","2.18",
"2506","太設","13.33","0.00","1.27",
"2509","全坤建","19.24","3.97","2.00",
"2511","太子","27.56","4.54","1.98",
"2514","龍邦","57.76","0.91","1.52",
"2515","中工","41.94","0.00","0.60",
"2520","冠德","30.27","0.00","1.20",
"2524","京城","11.56","6.16","2.43",
"2526","大陸","8.45","6.36","1.37",
"2527","宏璟","29.57","1.69","1.28",
"2528","皇普","-","0.00","0.64",
"2530","華建","-","0.00","0.74",
"2534","宏盛","6.53","2.06","1.38",
"2535","達欣工","10.31","0.00","1.14",
"2536","宏普","18.16","4.42","1.72",
"2537","聯上發","-","0.00","2.23",
