"95年08月07日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"2426","鼎元","22.22","3.13","2.07",
"2427","三商電","-","0.00","0.54",
"2428","興勤","23.33","6.91","1.47",
"2429","銘旺科","-","0.00","0.35",
"2430","燦坤","29.92","8.16","1.50",
"2431","聯昌","8.57","5.95","0.59",
"2432","倚天","26.97","3.00","1.66",
"2433","互盛電","8.41","9.31","0.97",
"2434","統懋","18.31","6.15","1.09",
"2436","偉詮電","26.19","2.27","1.00",
"2437","旺詮","35.31","3.12","0.92",
"2438","翔耀","9.30","0.00","0.70",
"2439","美律","23.91","3.33","3.90",
"2440","太空梭","-","0.00","0.29",
"2441","超豐","7.20","8.13","1.76",
"2442","新美齊","16.02","0.00","0.90",
"2443","昶虹","-","9.86","0.33",
"2444","兆勁","-","0.00","0.77",
"2446","全懋","7.57","6.38","2.65",
"2447","鼎新","10.04","8.30","1.85",
"2448","晶電","41.11","2.07","4.33",
"2449","京元電子","10.76","6.61","1.30",
"2450","神腦","18.03","0.00","1.49",
"2451","創見","17.19","4.18","3.42",
"2452","乾坤","15.16","4.48","2.15",
"2453","凌群","-","0.00","0.46",
"2454","聯發科","12.94","4.00","4.60",
"2455","全新","271.43","0.00","4.55",
"2456","奇力新","12.28","6.74","1.37",
"2457","飛宏","9.32","1.90","1.07",
"2458","義隆","10.90","8.12","1.37",
"2459","敦吉","11.65","4.93","2.07",
"2460","建通","16.38","6.10","1.73",
"2461","光群雷","17.67","0.00","1.44",
"2462","良得電","9.59","9.86","1.01",
"2463","研揚","16.14","2.43","1.65",
"2464","盟立","8.34","9.57","1.88",
"2465","麗臺","-","0.00","0.69",
"2466","冠西電","26.05","1.34","1.99",
"2467","志聖","8.56","10.51","1.25",
"2468","華經","10.83","5.49","0.66",
"2469","力信","12.57","1.52","1.82",
"2471","資通","-","0.00","0.49",
"2472","立隆電","37.58","0.00","0.79",
"2473","思源","10.76","7.29","2.13",
"2474","可成","22.80","1.74","7.14",
"2475","華映","-","10.18","0.63",
"2476","鉅祥","11.36","6.34","1.71",
"2477","美隆電","12.89","4.85","1.18",
"2478","大毅","21.44","5.18","1.61",
"2479","和立","-","0.00","0.32",
"2480","敦陽科","8.28","9.60","0.76",
"2481","強茂","87.94","5.35","0.86",
"2482","連宇","8.52","8.97","1.11",
"2483","百容","10.85","4.34","0.96",
"2484","希華","10.47","5.01","0.94",
"2485","兆赫","16.79","3.82","1.99",
"2486","一詮","14.84","3.13","2.47",
"2488","漢平","24.10","6.64","0.79",
"2489","瑞軒","16.02","3.07","1.59",
"2491","吉祥全","-","0.00","0.35",
"2492","華新科","13.63","4.27","0.96",
"2493","揚博","9.03","5.57","0.84",
"2494","廣業科","-","0.00","0.30",
"2495","普安","7.59","10.53","2.45",
"2496","卓越","-","0.00","0.67",
"2497","怡利電","-","0.00","1.79",
"2498","宏達電","20.64","2.17","11.35",
"2499","東貝","21.39","7.20","1.80",
"2501","國建","31.09","0.00","1.64",
"2504","國產","14.94","3.85","0.94",
"2505","國揚","-","0.00","1.62",
"2506","太設","-","0.00","0.70",
"2509","全坤建","21.31","7.04","1.14",
"2511","太子","12.22","6.49","1.30",
"2514","龍邦","-","0.57","1.24",
"2515","中工","17.92","2.33","0.34",
