"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"6120","達運","1.80","107","628.33","1.06","108/1",
"6128","上福","5.72","107","41.61","1.26","108/1",
"6131","鈞泰","0.98","106","-","1.26","108/1",
"6133","金橋","2.96","107","29.17","0.64","108/1",
"6136","富爾特","7.28","107","29.01","0.87","108/1",
"6139","亞翔","5.54","107","12.60","0.78","108/1",
"6141","柏承","0.49","107","-","1.56","108/1",
"6142","友勁","0.00","106","-","0.76","108/1",
"6152","百一","0.00","106","-","0.62","108/1",
"6153","嘉聯益","2.04","107","14.65","1.06","108/1",
"6155","鈞寶","4.63","107","11.74","1.29","108/1",
"6164","華興","2.68","107","43.94","0.61","108/1",
"6165","浪凡","0.00","106","-","0.92","108/1",
"6166","凌華","3.48","107","24.41","1.73","108/1",
"6168","宏齊","7.09","107","11.95","1.02","108/1",
"6172","互億","0.00","107","32.08","1.48","108/1",
"6176","瑞儀","7.04","107","7.31","1.67","108/1",
"6177","達麗","3.36","107","10.90","1.66","108/1",
"6183","關貿","4.75","107","20.20","2.37","108/1",
"6184","大豐電","6.69","107","14.53","1.32","108/1",
"6189","豐藝","7.80","107","10.91","1.59","108/1",
"6191","精成科","2.09","107","11.30","0.52","108/1",
"6192","巨路","4.53","107","9.31","1.64","108/1",
"6196","帆宣","6.03","107","12.59","1.58","108/1",
"6197","佳必琪","6.85","107","11.63","1.15","108/1",
"6201","亞弘電","7.65","107","10.86","1.26","108/1",
"6202","盛群","7.08","107","14.43","3.39","108/1",
"6205","詮欣","5.60","107","12.13","1.08","108/1",
"6206","飛捷","6.30","107","13.60","2.47","108/1",
"6209","今國光","0.00","106","-","1.39","108/1",
"6213","聯茂","3.85","107","15.57","3.45","108/1",
"6214","精誠","6.69","107","16.67","1.36","108/1",
"6215","和椿","3.09","107","27.00","1.11","108/1",
"6216","居易","7.22","107","13.64","1.55","108/1",
"6224","聚鼎","6.66","107","14.44","2.06","108/1",
"6225","天瀚","0.00","106","-","145.00","108/1",
"6226","光鼎","1.58","107","-","0.71","108/1",
"6230","尼得科超眾","2.88","107","20.00","3.49","108/1",
"6235","華孚","4.35","107","10.27","0.81","108/1",
"6239","力成","6.50","107","9.57","1.36","108/1",
"6243","迅杰","0.00","106","-","1.25","108/1",
"6251","定穎","0.00","107","-","0.62","108/1",
"6257","矽格","7.05","107","9.93","1.13","108/1",
"6269","台郡","6.08","107","10.25","1.31","108/1",
"6271","同欣電","5.88","107","17.41","1.60","108/1",
"6277","宏正","8.96","107","7.07","2.31","108/1",
"6278","台表科","2.64","107","12.64","1.19","108/1",
"6281","全國電","6.03","107","18.94","2.62","108/1",
"6282","康舒","5.13","107","8.52","1.20","108/1",
"6283","淳安","0.00","106","117.50","2.60","108/1",
"6285","啟碁","5.00","107","14.37","1.66","108/1",
"6288","聯嘉","3.15","107","19.39","1.29","108/1",
"6289","華上","0.00","106","2.72","1.66","108/1",
"6405","悅城","3.50","107","-","0.51","108/1",
"6409","旭隼","3.54","107","25.21","9.71","108/1",
"6412","群電","4.01","107","16.47","2.44","108/1",
"6414","樺漢","3.17","107","17.91","2.17","108/1",
"6415","矽力*-KY","1.39","107","23.67","3.12","108/1",
"6416","瑞祺電通","4.65","107","14.41","2.01","108/1",
"6431","光麗-KY","0.00","106","-","3.01","108/1",
"6442","光聖","5.26","107","13.06","1.17","108/1",
"6443","元晶","0.00","107","-","0.92","108/1",
