"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"2315","神達","9.55","5.22","1.75",
"2316","楠梓電","-","0.00","0.91",
"2317","鴻海","20.21","2.13","4.49",
"2321","東訊","-","2.92","2.22",
"2323","中環","-","0.00","0.72",
"2324","仁寶","12.55","4.37","2.02",
"2325","矽品","11.05","5.94","2.75",
"2327","國巨","10.71","4.17","0.88",
"2328","廣宇","34.93","1.01","1.71",
"2329","華泰","-","0.00","1.46",
"2330","台積電","16.11","4.82","3.29",
"2331","精英","-","0.00","1.18",
"2332","友訊","12.72","3.79","2.72",
"2336","致伸","13.69","1.20","1.42",
"2337","旺宏","12.50","1.79","1.70",
"2338","光罩","7.83","7.13","1.33",
"2340","台亞","-","0.00","2.89",
"2341","英群","-","0.00","1.89",
"2342","茂矽","24.96","3.98","2.05",
"2344","華邦電","1,025.00","2.93","0.72",
"2345","智邦","56.38","0.00","1.41",
"2347","聯強","27.62","2.25","4.20",
"2348","海悅","18.15","0.00","1.16",
"2349","錸德","-","0.00","0.59",
"2350","環電","13.03","4.83","1.56",
"2351","順德","13.72","4.89","2.40",
"2352","佳世達","-","0.00","3.24",
"2353","宏碁","14.63","5.56","2.37",
"2354","鴻準","32.46","1.39","5.50",
"2355","敬鵬","7.83","4.86","1.44",
"2356","英業達","8.87","10.15","1.38",
"2357","華碩","15.14","1.79","2.68",
"2358","廷鑫","900.00","0.00","1.06",
"2359","所羅門","7.05","0.00","1.77",
"2360","致茂","16.31","3.73","3.82",
"2361","鴻友","-","0.00","1.71",
"2362","藍天","23.96","0.36","4.54",
"2363","矽統","-","0.46","1.32",
"2364","倫飛","-","0.00","0.87",
"2365","昆盈","15.43","4.12","3.60",
"2367","燿華","8.77","5.25","1.95",
"2368","金像電","12.41","4.21","1.84",
"2369","菱生","21.67","2.90","1.25",
"2371","大同","-","0.00","1.70",
"2373","震旦行","28.19","4.34","2.22",
"2374","佳能","13.73","2.89","3.66",
"2375","凱美","-","0.00","0.71",
"2376","技嘉","21.20","2.42","0.86",
"2377","微星","12.01","3.53","1.40",
"2379","瑞昱","14.89","3.21","2.89",
"2380","虹光","12.60","4.44","1.15",
"2381","華宇","-","0.00","1.08",
"2382","廣達","10.53","5.22","2.24",
"2383","台光電","11.62","6.56","1.21",
"2384","勝華","61.79","2.07","2.24",
"2385","群光","12.78","4.84","4.08",
"2387","精元","12.82","5.43","2.61",
"2388","威盛","-","0.00","2.04",
"2390","云辰","12.72","0.00","0.82",
"2391","合勤","22.64","2.65","2.87",
"2392","正崴","15.76","3.92","2.20",
"2393","億光","23.38","3.27","5.29",
"2395","研華","15.05","5.24","3.16",
"2396","精碟","-","0.00","0.66",
"2397","友通","16.81","4.38","3.70",
"2399","映泰","9.70","3.92","1.88",
"2401","凌陽","13.80","7.68","2.37",
"2402","毅嘉","28.70","6.97","1.59",
"2403","友尚","10.77","3.90","1.38",
"2404","漢唐","7.99","6.87","1.62",
"2405","輔信","109.58","2.89","1.07",
"2406","國碩","-","0.00","1.19",
"2408","南亞科","17.88","17.77","1.24",
"2409","友達","21.87","0.57","2.16",
"2411","飛瑞","12.49","4.95","2.78",
"2412","中華電","13.38","5.87","1.63",
"2413","環科","16.39","1.24","1.42",
"2414","精技","15.74","5.24","1.30",
"2415","錩新","24.43","2.79","1.38",
"2417","圓剛","17.74","3.06","4.40",
"2419","仲琦","-","0.00","1.05",
"2420","新巨","12.25","10.57","1.73",
"2421","建準","16.53","5.25","1.42",
"2423","固緯","11.18","9.09","1.96",
"2424","隴華","-","0.00","0.77",
"2425","承啟","-","0.00","0.94",
"2426","鼎元","18.63","2.70","2.62",
"2427","三商電","-","0.00","0.68",
"2428","興勤","11.57","4.51","2.29",
"2429","銘旺科","-","0.00","0.80",
"2430","燦坤","-","4.89","2.24",
"2431","聯昌","-","0.00","0.86",
"2432","倚天","20.10","2.96","2.72",
"2433","互盛電","50.73","2.64","1.26",
"2434","統懋","172.00","0.93","3.76",
"2436","偉詮電","17.90","0.89","2.50",
"2437","旺詮","14.75","0.00","1.07",
"2438","翔耀","14.17","5.34","0.83",
"2439","美律","18.40","3.68","3.93",
"2440","太空梭","-","0.00","1.43",
"2441","超豐","10.10","7.26","2.62",
"2442","新美齊","8.81","0.00","1.52",
"2443","昶虹","-","0.00","1.14",
"2444","兆勁","-","0.00","1.64",
"2446","全懋","24.61","4.22","2.34",
"2447","鼎新","19.59","5.04","2.89",
"2448","晶電","42.39","1.41","4.91",
"2449","京元電子","13.35","10.14","1.17",
"2450","神腦","14.68","2.06","3.22",
"2451","創見","13.17","3.24","4.23",
"2452","乾坤","13.88","4.90","2.88",
"2453","凌群","45.00","0.00","0.91",
"2454","聯發科","16.91","2.81","7.26",
"2455","全新","24.09","0.00","2.90",
"2456","奇力新","12.00","6.67","1.52",
"2457","飛宏","13.99","5.13","1.74",
"2458","義隆","51.07","0.66","4.91",
"2459","敦吉","11.94","7.90","1.34",
"2460","建通","10.43","10.36","2.11",
"2461","光群雷","10.75","2.90","1.45",
"2462","良得電","11.86","4.82","1.43",
"2463","研揚","16.88","2.63","3.78",
"2464","盟立","8.87","8.35","2.44",
"2465","麗臺","-","0.00","1.75",
"2466","冠西電","25.97","0.85","2.35",
"2467","志聖","9.37","8.02","1.44",
"2468","華經","6.68","6.06","1.08",
"2471","資通","35.00","5.71","0.71",
"2472","立隆電","94.69","0.40","1.00",
"2473","思源","14.09","5.76","2.12",
"2474","可成","15.87","2.86","4.85",
"2475","華映","214.17","0.00","1.21",
"2476","鉅祥","18.38","4.16","3.29",
"2477","美隆電","11.55","3.45","1.90",
"2478","大毅","23.12","4.39","1.63",
"2480","敦陽科","12.16","6.20","1.11",
"2481","強茂","19.10","2.94","1.75",
"2482","連宇","28.20","1.18","4.04",
"2483","百容","13.64","5.71","1.05",
"2484","希華","14.38","4.31","1.25",
"2485","兆赫","23.18","1.78","7.58",
"2486","一詮","15.42","4.24","2.66",
"2488","漢平","10.78","6.05","1.55",
"2489","瑞軒","15.40","3.29","2.44",
"2491","吉祥全","-","0.00","2.48",
"2492","華新科","10.11","6.97","1.05",
"2493","揚博","16.15","8.10","0.95",
"2494","廣業科","-","0.00","0.25",
"2495","普安","9.56","7.40","3.18",
"2496","卓越","-","0.00","16.67",
"2497","怡利電","67.01","0.00","5.74",
"2498","宏達電","13.70","4.76","7.83",
"2499","東貝","74.08","0.66","2.18",
"2501","國建","67.12","4.30","1.41",
"2504","國產","19.41","3.32","1.25",
"2505","國揚","10.90","0.00","1.41",
"2506","太設","-","0.00","0.55",
"2509","全坤建","11.29","3.13","2.41",
"2511","太子","16.53","6.67","1.74",
"2514","龍邦","9.24","3.09","1.28",
"2515","中工","13.70","5.45","0.74",
"2516","新建","-","0.00","0.95",
"2520","冠德","60.21","3.46","1.06",
"2524","京城","10.18","4.57","1.51",
"2526","大陸","9.22","13.43","1.02",
"2527","宏璟","198.75","2.52","0.88",
"2528","皇普","-","0.00","0.39",
"2530","華建","10.35","0.00","0.73",
"2534","宏盛","5.13","12.62","1.31",
"2535","達欣工","11.60","4.83","1.13",
"2536","宏普","7.19","6.88","1.30",
"2537","聯上發","-","0.00","0.87",
"2538","基泰","12.39","3.94","1.46",
"2539","櫻花建","-","0.00","1.18",
"2540","愛山林","2.20","0.00","1.04",
"2542","興富發","6.91","10.77","2.62",
"2543","皇昌","14.46","9.07","0.91",
"2545","皇翔","5.05","10.87","2.69",
"2546","根基","9.69","3.94","1.03",
"2547","日勝生","10.98","1.94","1.41",
"2548","華固","8.46","7.34","3.08",
"2601","益航","31.98","0.00","5.48",
"2603","長榮","11.82","1.04","1.31",
"2605","新興","8.98","8.33","2.69",
"2606","裕民","11.49","4.83","3.83",
"2607","榮運","19.49","5.19","0.96",
"2608","嘉里大榮","-","0.00","1.13",
"2609","陽明","17.13","1.52","1.22",
"2610","華航","146.00","2.88","1.02",
"2611","志信","10.92","6.50","1.34",
"2612","中航","12.12","2.75","5.15",
"2613","中櫃","11.09","0.00","0.90",
"2614","東森","11.36","12.00","0.86",
"2615","萬海","13.29","3.55","1.95",
"2616","山隆","10.15","5.74","0.95",
"2617","台航","20.24","0.00","3.66",
"2618","長榮航","-","0.00","1.13",
"2701","萬企","13.08","7.18","0.95",
"2702","華園","43.63","0.00","2.54",
"2704","國賓","28.47","2.53","1.52",
"2705","六福","-","0.00","1.21",
"2706","第一店","11.73","8.76","1.36",
"2707","晶華","23.46","4.08","7.45",
"2801","彰銀","10.41","4.66","1.28",
"2809","京城銀","76.33","0.00","1.10",
"2812","台中銀","10.98","0.00","1.23",
"2816","旺旺保","-","0.00","0.57",
"2820","華票","-","11.14","0.71",
"2823","中壽","12.76","0.00","1.47",
"2832","台產","8.83","6.29","1.75",
"2833","台壽保","11.30","5.01","2.34",
"2834","臺企銀","39.56","0.00","0.96",
"2836","高雄銀","18.95","3.33","0.85",
"2837","萬泰銀","-","0.00","1.46",
"2838","聯邦銀","-","0.00","0.67",
"2841","台開","46.33","0.00","1.63",
"2845","遠東銀","-","0.00","1.24",
"2847","大眾銀","-","0.00","1.44",
"2849","安泰銀","-","0.00","1.68",
"2850","新產","11.80","7.11","1.24",
"2851","中再保","7.65","5.29","1.28",
"2852","第一保","6.62","11.50","1.31",
"2854","寶來證","12.41","2.57","1.20",
"2855","統一證","7.84","5.46","1.37",
"2856","元富證","16.65","2.17","1.18",
"2880","華南金","16.12","4.34","1.56",
"2881","富邦金","16.27","3.40","1.33",
"2882","國泰金","33.64","1.84","3.27",
"2883","開發金","9.21","7.75","0.87",
"2884","玉山金","17.45","0.00","1.23",
"2885","元大金","199.09","0.00","1.71",
"2886","兆豐金","14.96","7.48","1.17",
"2887","台新金","-","0.00","0.52",
"2888","新光金","15.60","4.41","1.56",
"2889","國票金","11.63","7.73","0.84",
"2890","永豐金","21.52","2.11","1.14",
"2891","中信金","768.33","0.00","1.41",
"2892","第一金","12.91","4.67","1.57",
"2901","欣欣","151.25","0.00","2.17",
"2903","遠百","26.33","1.27","1.73",
"2904","匯僑","16.50","0.00","0.81",
"2905","三商","7.52","2.61","1.48",
"2906","高林","14.48","5.94","1.03",
"2908","特力","18.12","5.22","1.65",
"2910","統領","22.60","4.12","3.16",
"2911","麗嬰房","30.12","2.40","1.59",
"2912","統一超","19.21","3.80","5.27",
"2913","農林","-","0.00","1.68",
"2915","潤泰全","14.56","3.77","2.36",
"3002","歐格","12.20","7.73","1.77",
"3003","健和興","14.39","6.29","1.88",
"3004","豐達科","-","0.00","6.85",
"3005","神基","18.16","1.65","1.81",
"3006","晶豪科","27.07","2.56","3.17",
"3008","大立光","16.53","3.03","5.20",
"3009","奇美電","20.23","1.02","1.66",
"3010","華立","11.54","5.90","2.60",
"3011","今皓","110.00","4.47","0.96",
"3013","晟銘電","14.94","5.54","0.99",
"3014","聯陽","23.12","2.09","6.11",
"3015","全漢","11.80","6.64","2.11",
"3016","嘉晶","32.82","3.24","4.70",
